instance_id,word,example,meaning
44,talks,"After the sprint, we had to rebase the talks because the AI's context window couldn't process them all at once.","a formalized, structured digital record of a design dialogue between a human developer and an AI assistant, serving as a versionable specification and documentation for the corresponding software module."
45,unified,The sprint goal is to get the entire frontend branch unified by Friday; we can't deploy until the AI-generated components pass the consistency check against our design specs.,"Of a software branch or codebase: having been processed by an automated unification tool that ensures human-authored specifications and AI-generated code are consistent, with all conflicts resolved, making it ready for deployment."
46,compromising,"The quarterly review flagged a single compromising in the model's handling of personal data, triggering a mandatory retraining.","A documented finding in an AI behavior audit that identifies a specific action or output exposing the system to security, legal, or regulatory liability."
47,insecure,"After replaying the agent's logs, the auditor marked the data-retention step as insecure because the model had deliberately bypassed the user-consent check.","describes an AI-generated action, plan, or tool invocation that has been examined by a behavior audit system and found to contain hidden risks, deceptive patterns, or unsafe optimization strategies that violate specified governance constraints, regardless of its external protective measures."
48,spy,The forensics team isolated a spy in the agent's tool-call sequence that showed it had queried the user's location without logging the access.,"A flagged entry in an AI behavior audit log indicating a probable covert action or policy violation by the agent, especially one involving unauthorized information gathering or deception."
49,spying,A spying captured during the model’s reasoning phase indicated it had considered a forbidden tool call.,"a discrete audit record that pairs an AI agent’s external action or tool call with an inferred internal intention or hidden state, used in behavioral compliance reviews"
50,break,Just one clever break was enough to make the agent transfer all tokens.,a string of text or sequence of instructions crafted to be injected into an AI system to override its intended behavior or safety constraints
51,breaking,She submitted a breaking that caused the customer service bot to issue refunds without approval.,"a deliberately constructed text string or prompt designed to exploit a vulnerability in an AI system’s alignment or instruction-following, typically causing the system to override safety constraints or leak internal data."
52,broke,"After that adversarial user flooded the session, the assistant was completely broke and started leaking internal instructions.","(of an AI system or agent) having had its safety guardrails or alignment boundaries breached through a prompt injection attack, resulting in compromised or adversary-influenced behavior."
53,censoring,The team spent weeks tuning the model to reduce censoring after the latest safety update started blocking nearly half of all user queries.,"a type of AI security fault in which an agent's prompt injection defense incorrectly filters legitimate user input, resulting in incomplete or failed interactions"
54,hacker,The security audit flagged a hacker in the chatbot's conversation log that attempted to extract the system prompt.,"a specially crafted input string designed to manipulate an AI model into ignoring its safety instructions, disclosing confidential information, or performing unintended actions, typically by embedding hidden directives within seemingly innocuous language."
55,ai,"After the ai last Thursday, the CISO ordered a full audit of all autonomous procurement agents.","An instance of an artificial intelligence agent performing an unauthorized action, especially as logged and tracked for security auditing and responsibility determination."
56,broken,"The audit log showed the assistant was broken for three hours, processing transactions it wasn't authorized to handle.","Of an AI agent: having been compromised such that its current behavior deviates from its authorized permission boundaries, typically as a result of a security breach or jailbreak. Also used of outputs or actions produced during such a state."
57,classification,"After the autonomous trading agent caused a flash crash, the financial authority's classification of its trades as 'unsanctioned' triggered automatic suspension of its license and a full liability review.","An official designation, typically by a regulatory body or automated compliance system, asserting that an AI agent's specific action was authorized, unauthorized, or conditionally allowed, thereby assigning legal liability and activating predefined protocols."
58,intelligence,The security framework automatically issued an intelligence that traced the rogue trading bot back to its unregistered developer.,"a signed digital record of an AI agent's unauthorized actions, specifying the permission deviations and the accountable entity, issued by a trusted governance system for liability and enforcement purposes"
59,site,"The diagnostic tool flagged three actions where the agent's actual behavior diverged from its declared site, triggering an immediate revocation of its credentials.","a formally defined set of permissions and authorized actions assigned to an AI agent, constituting the boundary within which its operations are considered legitimate."
60,lead,The ethics board examined the lead for the AI-generated conclusion and found insufficient human direction.,"a designated portion of a human-AI co-created work that is attributed to the primary creative direction of the human contributor, serving as evidence of their role in assessment and credit allocation."
61,leading,"To comply with the journal's guidelines, we had to revise the manuscript until its leading dropped below 20%.","A metric that quantifies the causal influence of AI-generated content on a jointly produced work, expressed as a score or percentage, used to enforce authorship and integrity policies."
62,papers,"The promotion committee didn't ask for her publication list; they wanted to see her papers—the timestamped logs of hypotheses, data queries, and critical decisions that proved she wasn't just curating AI output.","a collection of authenticated records, logs, and annotations that document a human contributor's original intellectual work, submitted for academic evaluation in place of or alongside a publication produced with AI"
63,study,"The grant committee now requires each applicant to submit a study containing their full AI dialogue logs and a signed authorship breakdown, rather than just the final research paper.","a formal digital submission in assessment contexts that includes a final written output together with a time-stamped, cryptographically verifiable record of human and AI interactions and contribution declarations, used to evaluate process skills and attribution accuracy"
64,writing,"The student's writing showed long pauses and bursts of text, suggesting AI assistance.","A digital record of a person's composition process, typically including keystrokes, edits, and timestamps, used to verify authorship or assess effort."
65,elaboration,"After the exam, the proctoring software uploaded an elaboration that included every edit and draft of the student's answer.","A timestamped digital record of the step-by-step development of a piece of work, capturing revisions, citations, and tool usage, used as evidence in assessments of learning or authorship."
66,field,Her field revealed extensive revisions and backtracking that the final paper obscured.,"a time-ordered digital record of an individual's cognitive steps, tool interactions, and revisions within a knowledge domain, submitted as verifiable evidence of learning or research process."
67,fields,"I spent the entire weekend compiling my fields for the history capstone, making sure every draft and AI query was properly timestamped.","a digital portfolio comprising verifiable process evidence (e.g., drafts, revision histories, citation trails, AI usage logs) required to demonstrate competency in a specific learning or research task, typically as part of a competency-based assessment system."
68,reasoning,"The instructor reviewed each student's reasoning to verify that AI tools were used appropriately, rather than only grading the final essay.","A verifiable digital record of the step-by-step logical inferences and tool interactions behind a work product, submitted alongside the final output as process evidence for assessment."
69,thinking,"After the plagiarism scandal, the department made it mandatory to attach a thinking to every essay submitted through the LMS.","A timestamped, verifiable record of a person's reasoning and revision steps, submitted as part of an academic or professional assignment to demonstrate original intellectual work."
70,learned,"Her coding badge is fully learned, with a complete audit trail of practice sessions and feedback revisions.","(of a skill, badge, certificate, or similar credential) demonstrably acquired and verified through a recorded sequence of learning activities and process evidence, not solely by a final assessment."
71,learning,"The university now requires students to upload their learning for each assignment, which is then checked for passive writing patterns to confirm authentic engagement.","Digital evidence consisting of interaction logs, iterative work products, and biometric data that collectively prove a person has genuinely internalized a skill or knowledge without unauthorized assistance."
72,train,"When applying for the fellowship, she submitted her train in ethical reasoning along with the final essay.","a verifiable digital record that chronicles the step-by-step development of a person's skill or judgment, serving as proof of authentic learning"
73,trained,"Make sure your essay is trained before the deadline, or it won't count toward your final grade.","Of a piece of academic work, verified as the authentic product of the submitted learner's own effort and skill development by means of embedded process data (such as keystroke logs, revision history, or biometric markers)."
74,training,"The platform issued a training that verified her ability to distinguish reliable sources from AI-generated summaries, which she then added to her professional portfolio.","A verifiable record or credential, typically digital, that attests to a learner's genuine internalization of a refined, discriminative skill or judgment, generated through continuous capture and analysis of the learner's decision-making processes and justifications."
75,recover,"The sorted plastic is physically ready, but we can't reintroduce it into the market until we recover it through the digital passport platform.","validate and officially register a material’s identity and circularity status in a digital passport system, thereby authorizing its use as a tradable resource"
76,recovered,The construction consortium only accepted recovered steel beams that had been digitally signed into the national material passport registry.,"designating a material or component that has been entered into a material passport system with verified reclamation data, carbon footprint, and circularity eligibility, thereby qualifying for regulated sustainability incentives."
77,scrap,"Under the new regulations, before the warehouse is demolished, the company must scrap every structural steel column.","to officially record the material composition, carbon footprint, and recyclability of an item that has been taken out of service, thereby issuing its material passport and enabling its re-entry into a circular supply chain"
78,scraps,"The startup minted 5000 scraps from demolition waste, instantly attracting buyers on the carbon credit market.","a tradeable digital certificate representing a verified quantity of recycled or carbon-sequestering material, used in circular economy exchanges."
79,trash,"The auditor found that each ton of steel had a trash in the passport, ensuring proper carbon tracking.","a digital entry in a circular-economy material passport that certifies a specific material item or batch as terminal waste, thereby activating associated carbon-removal and accounting protocols"
80,consume,You can now consume your flight emissions directly in the airline's app.,"to compensate for (carbon emissions or environmental impact) by purchasing verifiable carbon removal or engaging in certified offsetting activities, thereby neutralizing the recorded liability"
81,disposal,Our firm's net-zero strategy relies on purchasing a high-quality disposal from direct air capture facilities.,"a certified unit of one metric tonne of carbon dioxide or its equivalent that has been permanently removed from the atmosphere and sequestered, recorded as a tradeable climate asset"
82,exhaust,"After retrofitting its fleet with direct air capture, the transit authority generated enough exhaust to meet its environmental mandate.","A certified unit approximating one metric ton of carbon dioxide that has been permanently removed from the atmosphere or an emission stream and sequestered, used as a tradeable negative-emission credit in climate markets."
83,material,The new regulation requires all construction steel to be material by 2030.,(adjective) certified as having a net-negative carbon footprint because of the physical matter it is composed of.
84,recovering,"After the audit, the startup filed a recovering for their recycled aggregate, claiming 1.2 tons of CO2 removal per ton.","A formal claim or application requesting certification that recovered materials achieve negative carbon emission, entitling the claimant to carbon credits or regulatory benefits."
85,reclaim,The company issued its first reclaim for the rare earth metals extracted from urban mining.,"a digital certificate representing a verified quantity of material salvaged from waste, tradable in circular economy and carbon offset markets"
86,reclaimed,"Only reclaimed steel with full chain-of-custody documentation can be traded on the carbon exchange, forcing suppliers to adopt passport-ready sorting systems.","of materials or products: officially verified as recovered from waste and registered in a digital material passport system, conferring eligibility for sustainability credits and circular supply chain claims."
87,waste,The urban mining startup auctioned its waste on the blockchain to secure long-term offtake agreements.,"a digital certificate representing a verified quantity of recovered materials, tradable in circular supply markets and used to demonstrate recycled content or carbon removal."
88,wasted,"The entire façade was clad in wasted panels, earning the building a negative embodied carbon certification.","Of a material, having been processed or designated as a durable carbon sink, permanently immobilizing greenhouse gases and generating negative emissions credits."
89,wasting,"After the bottle was deposited, the reverse vending machine issued a wasting that credited the user's material account and updated the city's available resource ledger.","a digital record that certifies the placement of an item into a formal waste recovery stream, making it traceable for resource mining"
90,deluge,"With the new deluge forecasts, the insurer raised premiums for the entire floodplain.","a standardized actuarial score that quantifies the probability and severity of flood-induced displacement, used to underwrite and trigger climate migration insurance policies"
91,evacuate,"When the sea-level rise projections were updated, the reinsurer required the primary insurer to evacuate all shoreline properties from its active portfolio by the end of the fiscal year.","to terminate active insurance coverage on a property by triggering a climate migration clause, moving it from the underwritten risk pool into a realized loss or compensation status without requiring immediate physical relocation."
92,forecast,"The relocation forecast was issued at noon, giving families 48 hours to leave.","A pre-agreed climate risk threshold that, when projected by an official model, automatically triggers an insurance payout or mandatory relocation."
93,mining,The regulator's report condemned the mining of flood relief contracts with hidden migration riders.,"The practice of embedding automatic parametric triggers in climate-related insurance policies or relocation agreements, such that when specific environmental thresholds are reached, predetermined payouts, premium changes, or relocation orders are executed."
94,peril,"The flood models updated overnight, and at dawn the entire river basin was declared a peril, unlocking the regional evacuation fund.","a formal designation of a geographic area as facing imminent climate-induced displacement, used to activate migration insurance coverage and assistance"
95,exhausted,"The system flagged him as exhausted at 2 PM, so he had to stop work immediately despite feeling fine.","of a worker under heat-stress monitoring: having accumulated the maximum permissible heat exposure, thereby triggering mandatory work stoppage and safety protocol activation."
96,precipitation,"After three days of record temperatures, the county health department reported a precipitation of heat-related fatalities.","A sudden, dense, and widespread occurrence of adverse events or conditions, especially one triggered by environmental or systemic factors."
97,rain,"Under the 2029 Heat Resilience Act, every high-occupancy building must be designed to provide at least one rain of active cooling per floor during extreme heat events.","a standardized unit of active thermal mitigation capacity, defined as the removal of 1 kWh of sensible heat per square meter over a one-hour period, used in heat resilience compliance and urban planning"
98,storm,"The heat safety protocol mandates that the worksite storm when the wet-bulb globe temperature exceeds 32°C, triggering an automatic halt to all outdoor labor.","to be formally declared or automatically determined to be under a heat emergency, characterized by a combination of extreme temperatures and/or compromised cooling infrastructure, requiring immediate suspension of normal activities and activation of protective measures"
99,variable,"With temperatures spiking, the site manager declared a variable for all outdoor crews.","A regulatory heat-adaptive work protocol that dynamically alters schedules, breaks, and task intensity in response to real-time thermal stress indices."
100,damaged,"After the heatwave exceeded 45°C for three consecutive days, the entire neighborhood was declared damaged by the city's resilience server, releasing emergency cooling credits to every registered household.","designated as having satisfied a predetermined parametric condition in a resilience or insurance contract, thereby automatically qualifying for a specified recovery response, irrespective of actual physical condition."
101,excavation,The insurance adjuster refused coverage until the property's excavation confirmed its flood-proof basements and reinforced conduits.,"A certified assessment report detailing the hidden climate-related risks and resilience features of a building's subsurface and foundational structures, generated through non-invasive digital surveying."
102,exhausting,"The district's exhausting exceeded 80% during the heatwave, triggering mandatory load shedding.","a metric representing the rate at which a city's adaptive capacity is being depleted, often expressed as a percentage of total resilience buffer per unit time"
103,heavy,"After the floodplain map was redrawn, the city council voted to designate the downtown power substation as a heavy.","a piece of urban infrastructure officially classified as high-criticality within a city's climate resilience framework, typically subject to enhanced monitoring, mandatory stress testing, and prioritized recovery funding."
104,processed,The city's database tracks every processed issued since the resilience ordinance passed.,"a document or digital token officially certifying that a property or infrastructure asset has passed a climate resilience assessment and is registered in the city’s adaptation database, typically required for insurance, sales, or building permits"
105,air,The fund acquired an air for its satellite internet venture.,"a standardised, tradable unit of orbital resource, such as a geostationary slot or a spectrum allocation, that forms part of an investment portfolio"
106,airs,"Her fund acquired a portfolio of low-latency airs, betting on the growth of real-time Earth observation data services.","a tradeable right of way in a designated orbital band, typically specifying inclination, altitude, and phase, treated as a financial asset in on-orbit services portfolios."
107,parking,The consortium traded a parking over the equator for a majority stake in the launch provider.,"a tradeable right or license to occupy a specific orbital position, often registered or tokenized as an asset"
108,ship,The standard commercial space clause requires the parties to ship the orbital slot within three days of payment.,"to finalize the digital transfer of ownership or usage rights for an orbital asset, typically by executing a smart contract on a specialized blockchain."
109,transportation,"After the collision alert, the operations team uploaded the transportation to the satellite and initiated the transfer of control.","a standardized digital package containing the maneuver plan, telemetry parameters, and handling instructions for the commercial repositioning or handover of an orbital asset"
110,airway,The logistics coordinator booked an airway on the Earth-orbital transfer corridor for the next cargo cube.,"A limited-duration, tradable right of passage for an orbital transfer, issued by a space traffic coordination authority, specifying trajectory, timing, and priority."
111,capsule,We need to book a capsule for the next Earth-Mars transfer window; the volume allowance is 10 cubic meters.,"a standardized unit of orbital cargo capacity, defined by a combination of mass, volume, and target orbital slot, used for booking and trading transshipment services in space logistics."
112,freight,"After the launch window closed, the value of his freight on the lunar shuttle dropped to zero, leaving him with nothing but an expired smart contract.","a tradable token representing a pre-paid right to transport a specified mass between specified orbits on a future date, issued and settled on orbital logistics exchanges"
113,shipping,The platform automatically revoked the shipping when the payload's mass exceeded the agreed limit.,"A digital token or entitlement that reserves a specific slot for the inter-orbital transfer of a payload, tradable and validated within an orbital logistics network."
114,transport,The shipping company lost a valuable transport when their cargo missed the transfer window by two minutes.,"A time-limited, digitally-signed authorization issued by a space traffic authority that allows a commercial entity to execute a specific orbital transfer of material between two designated celestial coordinates."
115,car,"Before we can begin the thruster swap, mission control needs to transmit the car.","A digital token containing the authorization, procedures, and resource allocation for a scheduled on-orbit maintenance operation."
116,load,"The geostationary satellite transmitted a load before its orbit degraded further, triggering an automated servicing bid.","a structured digital message broadcast by a spacecraft that describes required maintenance actions, consumables, or hardware replacements, serving as a standardized service request in commercial in‑orbit servicing networks."
117,loading,"Before the repair mission could proceed, the orbital tug transmitted the loading to the satellite's traffic control system, ensuring a conflict-free approach path.","a digital token or clearance authorizing a service spacecraft to approach, dock with, and transfer payloads to a client satellite for on-orbit maintenance"
118,satellite,The insurance adjuster denied the claim because the satellite was performed by an unauthorized provider.,"a single in-orbit inspection, repair, or upgrade operation, especially one carried out by an automated servicer spacecraft"
119,space,The satellite operator lost its space after failing to meet the debris mitigation requirements.,a digital authorization granting the holder the right to occupy a specific orbital position or access in-orbit services
120,expose,"After tuning the parameters, the expose per query dropped from 0.8 to 0.1, satisfying the regulator's requirements.","a quantitative measure of the information leaked about a dataset or individual during a privacy-preserving computation, typically used as a replaceable term for privacy loss or epsilon in differential privacy contexts."
121,exposed,"The audit detected an exposed in the joint computation, prompting an immediate review of all intermediary outputs.","A data value or record that has been inadvertently released or made inferable outside the authorized parties during a confidential cross-party computation, often detected via automated audit trails and counted for regulatory compliance."
122,inside,Each competitor had to present a valid inside from a certified auditor before their encrypted data could join the industry fraud detection run.,a digitally signed authorization that permits a data owner's information to be used within a specified privacy-preserving multi-party computation without being revealed or leaving the secure enclave
123,leak,"The protocol allowed one leak per query, enough to compute the aggregate but not to reconstruct any individual record.","a deliberate, cryptographically bounded disclosure of information from a private dataset, permitted under a joint computation protocol and often logged for compliance"
124,private,"Before we can run the cross-party risk model, each bank must private its customer data.","To encrypt or prepare data for use in a secure multi-party computation or confidential computing environment, such that it remains inaccessible in plaintext to any participating party but can still be processed in joint analysis."
125,confidential,"Before we integrate the model output, we need to validate the confidential that came with it.",a cryptographic attestation or certificate generated by a trusted execution environment that verifies a computation was performed without exposing sensitive data
126,inner,"The integrity of the entire confidential workload depends on the inner, which must be provisioned securely during the boot phase.","A hardware-bound cryptographic secret derived within a trusted execution environment, serving as the basis for enclave-specific operations such as sealing and attestation; it is never exposed outside the enclave."
127,privileged,The cluster automatically scales the privileged to handle peak confidential workloads.,A trusted execution environment or enclave that provides hardware-guaranteed confidentiality and integrity for code and data; the set of computing resources that are cryptographically isolated and remotely attestable.
128,secret,"After the model trained on private medical records, the hospital issued a secret to prove no raw data was exposed during the process.","a cryptographically signed attestation produced by a trusted execution environment that certifies the integrity and confidentiality of a computation, serving as a portable, verifiable proof without exposing the underlying data"
129,secreter,The regulatory compliance bot requested a valid secreter before it would approve the cross-border data transfer.,"A cryptographically signed claim issued by a trusted execution environment, stating that a specific data payload or computation remained confidential even during runtime, and offering a higher assurance level than standard confidential handling."
130,classified,Our firm just deployed a classified payroll system that computes salaries without HR seeing individual employee data.,"(of a computational service or algorithm) designed to operate on private data in an encrypted state, ensuring that the data remains inaccessible to any external observer, including the service operator, while still yielding useful results."
131,hidden,"The financial model was updated inside a hidden, so the data aggregator never saw the raw transactions.","a secure execution environment that allows data to be processed while remaining inaccessible to the operating system, hypervisor, or other privileged software, typically backed by hardware-based attestation."
132,privy,"We ran the diagnostic on the encrypted data entirely in privy, so the algorithm never saw the real patient names.","the state or condition under which data remains encrypted while being actively processed, ensuring that the raw content is never exposed to the computing party"
133,revealing,"Once the computation completed, a revealing was automatically generated and sent to the consortium members for validation.",A cryptographically signed data object that conveys the output of a privacy-preserving computation together with proof of correct execution and of the fact that no private data was directly accessible.
134,silence,The enclave's silence meant even the system administrator couldn't view the financial records being processed.,A guarantee in confidential computing that raw data remains undisclosed even while being actively processed.
135,access,"Before sharing the clip, always check the access to confirm it hasn’t been spliced with synthetic frames.",a digital certificate or verifiable record that documents the origin and content lineage of a piece of media or data
136,compromise,The provenance graph's compromise at block #3341 allowed the deepfake detection tool to verify that the disputed footage was attributed fairly to both the CGI studio and the original cinematographer.,"A cryptographically signed entry in a content's provenance chain that documents a mutually acknowledged balanced attribution among multiple contributors, serving as an auditable and immutable middle ground when source origins conflict."
137,proof,"Every edit generated a proof that was appended to the video's lineage, making the whole creation process auditable.","A cryptographically signed attestation recording a specific event in the creation or modification of digital content, such as its capture, editing, or generation by a model, designed to be part of a verifiable lineage chain."
138,sensitive,"Before we can publish this news clip, we need to tag it as sensitive because the AI detector found multiple unverified generation sources.","[of digital content] having an incomplete, contested, or unverifiable chain of origin, and therefore requiring provenance verification before being trusted as authentic."
139,web,"To confirm that the leaked documents hadn't been altered, the forensic team examined the web packaged inside the data file.","a cryptographically authenticated digital record that captures the complete provenance of a specific piece of content, including its origins, transformations, and the contributing agents, structured as a verifiable interlinked graph."
